acquisition_id,image_id,image_number,crop_number,acquisition_mcd_acid,site_mcd_panoramaid,slideac_name
451,2542,1639,1,9,3,20190607_p165_slide46_ac1_vz
341,2546,1043,29,3,1,20190524_p165_slide24_ac1_vz
341,2550,1047,32,3,1,20190524_p165_slide24_ac1_vz
341,2560,1057,41,3,1,20190524_p165_slide24_ac1_vz
55,2568,1805,10,3,1,20190610_p161_slide17_ac1_vz
55,2570,1807,12,3,1,20190610_p161_slide17_ac1_vz
55,2573,1810,15,3,1,20190610_p161_slide17_ac1_vz
55,2575,1812,17,3,1,20190610_p161_slide17_ac1_vz
55,2578,1815,2,3,1,20190610_p161_slide17_ac1_vz
55,2580,1817,21,3,1,20190610_p161_slide17_ac1_vz
55,2581,1818,22,3,1,20190610_p161_slide17_ac1_vz
62,2584,2081,3,3,1,20190612_p161_slide8_ac1_vz
62,2585,2082,4,3,1,20190612_p161_slide8_ac1_vz
62,2588,2085,7,3,1,20190612_p161_slide8_ac1_vz
454,2592,2089,1,2,1,20190612_p165_slide3_ac1_vz
455,2594,2091,2,3,1,20190612_p165_slide3_ac1_vz
457,2596,2093,1,5,1,20190612_p165_slide3_ac1_vz
457,2598,2095,3,5,1,20190612_p165_slide3_ac1_vz
20,2602,2099,1,12,1,20190613_p165_slide48_ac1_vz
269,2617,1234,6,50,3,20190525_p165_slide45_ac1_vz
61,2621,1238,1,3,1,20190606_p165_slide27_ac1_vz
61,2622,1239,10,3,1,20190606_p165_slide27_ac1_vz
98,2624,2621,33,25,2,20190622_p165_slide42_ac1_vz
98,2625,2622,34,25,2,20190622_p165_slide42_ac1_vz
468,2651,2188,1,22,3,20190617_p161_slide35_ac1_vz
469,2654,2191,1,23,3,20190617_p161_slide35_ac1_vz
470,2655,2192,1,24,3,20190617_p161_slide35_ac1_vz
473,2659,2196,1,27,3,20190617_p161_slide35_ac1_vz
53,2673,2050,4,4,3,20190612_p161_slide23_ac1_vz
53,2679,2056,45,4,3,20190612_p161_slide23_ac1_vz
53,2681,2058,47,4,3,20190612_p161_slide23_ac1_vz
