sampleblock,slide_date,storage_box,anyeverused?,slide_number,nsites,n_cuts_between,image_prefreeze,slide_position,to be used? indicate site number,nsites_stained,anyeverused?,anyused?,to be used? indicate site number,stain_group,idx,imaged?,imgaging time predicted,Imaging time actual,slide_number,slidescan_fluo_nr,slidescan_fluo_name,,,
p176,20190225,VZBox20,0,31,3,0,4494," -,++",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,32,3,0,4500," +,+,+",,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,33,3,0,4506, ++0,1,1,1,1,1,1,78,0,,4,33,81,v.zanotelli_20190509_p176_081,,,
p176,20190225,VZBox20,0,34,3,0,4512, +-+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,35,3,0,4518, --+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,36,3,0,4524, +-+,1,1,1,1,1,2,79,0,,3.5,36,84,v.zanotelli_20190509_p176_084,,,
p176,20190225,VZBox20,0,37,2,0,4323, --,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,38,3,0,4327, 0++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,39,3,0,4333, +++,1,1,1,1,1,3,80,0,,,39,92,v.zanotelli_20190509_p176_092,,0.25,
p176,20190225,VZBox20,0,40,3,,4339, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,41,3,0,4345, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,42,3,0,4351, --+\,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,43,3,0,4357, ++-,1,1,1,1,1,1,81,0,,2,43,88,v.zanotelli_20190509_p176_088,,,
p176,20190225,VZBox20,0,44,3,0,4363, +--,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,45,3,0,4369, ++-,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,46,3,0,4375, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,1,47,3,0,4381, +++,1,1,1,1,1,2,82,0,,,47,80,v.zanotelli_20190509_p176_080,,,1.5
p176,20190225,VZBox20,0,48,3,0,4387, +-+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,49,3,0,4393, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,50,3,0,4399, +++,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,51,3,0,4405,--+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,52,3,0,4411, +-+,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,0,53,3,0,4417, ++-,,,0,0,,,,,,,,,,,,
p176,20190225,VZBox20,no spheres,54,3,0,4423,0,,,no spheres,no spheres,,,,,,,,,,,,
